"direction","orientation","station","subjective_distance","error"
"EAST",1,1,5,1
"EAST",1,1,4,0
"EAST",1,1,3,1
"EAST",1,1,3,0
"EAST",1,1,4,0
"EAST",1,1,1,0
"EAST",1,1,4,0
"EAST",1,1,4,1
"EAST",1,1,5,0
"EAST",1,1,3,1
"EAST",1,1,2,1
"EAST",1,1,4,0
"EAST",1,1,5,0
"EAST",1,1,3,1
"EAST",1,1,3,1
"EAST",1,1,4,0
"EAST",1,1,2,0
"EAST",1,1,4,0
"EAST",1,1,4,0
"EAST",1,1,5,0
"EAST",1,1,2,0
"EAST",1,1,3,0
"EAST",1,1,4,0
"EAST",1,1,5,1
"EAST",1,1,5,1
"EAST",1,1,4,1
"WEST",2,1,2,0
"WEST",2,1,4,0
"WEST",2,1,3,0
"WEST",2,1,3,0
"WEST",2,1,2,1
"WEST",2,1,4,0
"WEST",2,1,3,0
"WEST",2,1,3,0
"WEST",2,1,2,0
"WEST",2,1,1,1
"WEST",2,1,2,1
"WEST",2,1,4,0
"WEST",2,1,3,0
"WEST",2,1,2,1
"WEST",2,1,2,1
"WEST",2,1,5,1
"WEST",2,1,2,1
"WEST",2,1,2,0
"WEST",2,1,4,0
"WEST",2,1,3,0
"WEST",2,1,2,1
"WEST",2,1,1,0
"WEST",2,1,2,0
"WEST",2,1,2,0
"WEST",2,1,3,0
"EAST",1,2,3,0
"EAST",1,2,1,1
"EAST",1,2,4,1
"EAST",1,2,1,0
"EAST",1,2,3,0
"EAST",1,2,3,0
"EAST",1,2,2,0
"EAST",1,2,4,1
"EAST",1,2,3,1
"EAST",1,2,3,0
"EAST",1,2,3,1
"EAST",1,2,2,0
"EAST",1,2,4,1
"EAST",1,2,1,1
"EAST",1,2,2,1
"EAST",1,2,3,0
"EAST",1,2,3,0
"EAST",1,2,3,0
"EAST",1,2,2,0
"EAST",1,2,4,0
"EAST",1,2,5,1
"EAST",1,2,3,1
"EAST",1,2,3,1
"EAST",1,2,1,0
"EAST",1,2,3,0
"EAST",1,2,3,0
"WEST",2,2,2,0
"WEST",2,2,3,0
"WEST",2,2,1,0
"WEST",2,2,1,0
"WEST",2,2,2,0
"WEST",2,2,1,1
"WEST",2,2,3,0
"WEST",2,2,1,0
"WEST",2,2,2,0
"WEST",2,2,1,0
"WEST",2,2,3,0
"WEST",2,2,1,1
"WEST",2,2,1,0
"WEST",2,2,1,0
"WEST",2,2,2,0
"WEST",2,2,2,0
"WEST",2,2,1,0
"WEST",2,2,1,0
"WEST",2,2,1,0
"WEST",2,2,3,0
"WEST",2,2,1,0
"WEST",2,2,1,0
"WEST",2,2,2,0
"WEST",2,2,1,0
"WEST",2,2,3,0
"EAST",1,3,1,0
"EAST",1,3,2,1
"EAST",1,3,2,1
"EAST",1,3,3,1
"EAST",1,3,1,0
"EAST",1,3,1,0
"EAST",1,3,2,1
"EAST",1,3,1,0
"EAST",1,3,3,0
"EAST",1,3,2,0
"EAST",1,3,1,1
"EAST",1,3,1,0
"EAST",1,3,2,0
"EAST",1,3,1,0
"EAST",1,3,3,0
"EAST",1,3,1,0
"EAST",1,3,2,0
"EAST",1,3,1,0
"EAST",1,3,1,1
"EAST",1,3,1,0
"EAST",1,3,2,0
"EAST",1,3,2,0
"EAST",1,3,1,0
"WEST",2,3,1,0
"WEST",2,3,1,0
"WEST",2,3,5,1
"WEST",2,3,1,1
"WEST",2,3,5,0
"WEST",2,3,2,0
"WEST",2,3,3,0
"WEST",2,3,1,1
"WEST",2,3,1,1
"WEST",2,3,2,1
"WEST",2,3,4,0
"WEST",2,3,2,1
"WEST",2,3,3,0
"WEST",2,3,3,0
"WEST",2,3,2,1
"WEST",2,3,1,0
"WEST",2,3,2,1
"WEST",2,3,2,0
"WEST",2,3,1,1
"WEST",2,3,4,0
"WEST",2,3,1,0
"WEST",2,3,1,0
"WEST",2,3,2,1
"WEST",2,3,3,1
"WEST",2,3,2,0
"WEST",2,3,2,0
"EAST",1,4,4,0
"EAST",1,4,1,0
"EAST",1,4,1,0
"EAST",1,4,4,1
"EAST",1,4,3,0
"EAST",1,4,3,1
"EAST",1,4,4,0
"EAST",1,4,5,0
"EAST",1,4,2,0
"EAST",1,4,3,1
"EAST",1,4,4,0
"EAST",1,4,2,1
"EAST",1,4,1,0
"EAST",1,4,3,1
"EAST",1,4,3,0
"EAST",1,4,2,0
"EAST",1,4,4,0
"EAST",1,4,3,0
"EAST",1,4,4,0
"EAST",1,4,2,0
"EAST",1,4,1,0
"EAST",1,4,2,1
"EAST",1,4,2,1
"EAST",1,4,3,0
"EAST",1,4,2,0
"EAST",1,4,4,0
"WEST",2,4,2,1
"WEST",2,4,5,0
"WEST",2,4,4,0
"WEST",2,4,5,0
"WEST",2,4,3,0
"WEST",2,4,4,1
"WEST",2,4,4,1
"WEST",2,4,3,1
"WEST",2,4,5,0
"WEST",2,4,6,0
"WEST",2,4,2,0
"WEST",2,4,5,0
"WEST",2,4,5,0
"WEST",2,4,4,0
"WEST",2,4,3,1
"WEST",2,4,4,0
"WEST",2,4,5,0
"WEST",2,4,4,1
"WEST",2,4,2,0
"WEST",2,4,5,1
"WEST",2,4,3,0
"WEST",2,4,4,1
"WEST",2,4,5,0
"WEST",2,4,5,1
"WEST",2,4,3,1
